Datum;Auftrag #;Transaktionen;Symbol;Name;ISIN;Anzahl;Stückpreis;Kosten;Aufgelaufene Zinsen;Nettobetrag;Währung Nettobetrag;Nettobetrag in der Währung des Kontos;Saldo;Währung
30-09-2009 18:07:51;00000000;Depotgebühren;;;;1.0;20.60;0.00;0.00;-20.60;CHF;-20.60;-20.60;CHF
30-09-2009 14:01:14;20408008;Fx-Gutschrift Comp.;;;;1.0;257.44;0.00;0.00;257.44;CHF;257.44;0.00;CHF
30-09-2009 14:01:14;20408008;Fx-Belastung Comp.;;;;1.0;171.54;0.00;0.00;-171.54;EUR;-171.54;504.25;EUR
30-09-2009 14:01:14;20408007;Fx-Gutschrift Comp.;;;;1.0;7'569.12;0.00;0.00;7'569.12;USD;7'569.12;0.00;USD
30-09-2009 14:01:14;20408007;Fx-Belastung Comp.;;;;1.0;5'196.57;0.00;0.00;-5'196.57;EUR;-5'196.57;675.79;EUR
29-09-2009 14:33:37;20372968;Verkauf;UBS-CHEqFdEasEu;UBS (CH) Equity Fund - Eastern Europe P;CH0006893843;8.0;735.17;9.00;0.00;5'872.36;EUR;5'872.36;5'872.36;EUR
29-09-2009 14:23:45;20373118;Kauf;Fidelity-SouEas;Fidelity Funds South East Asia Fund A USD;LU0048597586;1400.0;5.392;20.32;0.00;-7'569.12;USD;-7'569.12;-7'569.12;USD
23-09-2009 14:01:07;20326211;Fx-Gutschrift Comp.;;;;1.0;11'126.40;0.00;0.00;11'126.40;CHF;11'126.40;-257.44;CHF
23-09-2009 14:01:07;20326211;Fx-Belastung Comp.;;;;1.0;10'958.20;0.00;0.00;-10'958.20;USD;-10'958.20;0.00;USD
22-09-2009 15:43:02;20273778;Verkauf;UBS-CHEqFdEne;UBS (CH) Equity Fund - Energy P;CH0000584505;40.0;274.18;9.00;0.00;10'958.20;USD;10'958.20;10'958.20;USD
22-09-2009 14:01:16;20309816;Fx-Gutschrift Comp.;;;;1.0;4'990.75;0.00;0.00;4'990.75;CHF;4'990.75;-11'383.84;CHF
22-09-2009 14:01:16;20309816;Fx-Belastung Comp.;;;;1.0;4'906.62;0.00;0.00;-4'906.62;USD;-4'906.62;0.00;USD
22-09-2009 14:01:16;20309815;Fx-Gutschrift Comp.;;;;1.0;57.15;0.00;0.00;57.15;CHF;57.15;-16'374.59;CHF
